1985,2,6.1219,3.1111,8.2963,16.593
1985,3,5.4395,7.2333,6.2,17.567
1985,4,6.5957,2,7,21
1985,5,5.809,3.1,11.367,16.533
1985,6,4.6725,7.5,12.857,9.6429
1985,7,2.9375,15.5,8.2667,7.2333
1985,8,4.4503,9,10,12
1985,9,5.257,5,12,13
1985,10,6.8662,1,8,22
1985,11,5.8586,5.1724,8.2759,16.552
1985,12,NaN,1,6,13
1986,1,6.9163,1,6,24
1986,2,6.3816,3,6,19
1986,3,6.7233,0,11,20
1986,4,6.7901,2,5,23
1986,5,6.15,4.1333,7.2333,19.633
1986,6,4.8739,9,7,14
1986,7,5.3074,5.3448,10.69,14.966
1986,8,3.4131,16,6,9
1986,9,6.0456,4,8,18
1986,10,NaN,2,7,14
1986,11,7.4156,0,2.3077,27.692
1986,12,6.025,5.1667,5.1667,20.667
1987,1,7.4045,0,4.7692,26.231
1987,2,6.6635,3.2308,2.1538,22.615
1987,3,6.7637,1,7,23
1987,4,6.3707,4.1379,4.1379,21.724
1987,5,5.1498,8.5517,6.4138,16.034
1987,6,3.8046,10.714,12.857,6.4286
1987,7,5.5169,6,13,12
1987,8,3.4032,14.467,7.2333,9.3
1987,9,4.2512,9.6429,8.5714,11.786
1987,10,4.3335,12.63,6.8889,11.481
1987,11,7.5994,0,2.1429,27.857
1987,12,6.5732,1,8,22
1988,1,6.7144,2.0667,5.1667,23.767
1988,2,7.1908,0,3,26
1988,3,6.2528,2.0667,10.333,18.6
1988,4,6.4523,3,8,19
1988,5,6.6906,1,8,22
1988,6,5.7772,4,9,17
1988,7,3.7357,16,6,9
1988,8,3.8818,12,10,9
1988,9,4.0423,11,8,11
1988,10,6.7725,1.0333,8.2667,21.7
1988,11,7.2452,0,7.2414,22.759
1988,12,6.7696,3.2069,3.2069,24.586
1989,1,7.5741,0,2.0667,28.933
1989,2,5.1262,7.84,4.48,15.68
1989,3,6.9596,1.0333,5.1667,24.8
1989,4,5.4002,5,11,14
1989,5,5.7453,5,8,18
1989,6,5.1192,7,8,15
1989,7,4.7703,8,10,13
1989,8,5.0317,6,14,11
1989,9,2.9722,17,7,6
1989,10,6.3174,3.5769,7.1538,20.269
1989,11,6.6214,1.0714,8.5714,20.357
1989,12,7.2913,2.2143,2.2143,26.571
1990,1,7.3568,1.0333,3.1,26.867
1990,2,6.2809,3.1111,5.1852,19.704
1990,3,5.8271,4.4286,7.75,18.821
1990,4,6.2269,4.1379,6.2069,19.655
1990,5,6.8439,1,6,24
1990,6,6.0858,3,8,19
1990,7,3.4761,15,7,9
1990,8,4.9699,7,15,9
1990,9,4.4839,8.5714,11.786,9.6429
1990,10,6.8643,1,8,22
1990,11,7.5466,0,3.1034,26.897
1990,12,6.6245,2.1379,8.5517,20.31
1991,1,6.231,4.1333,7.2333,19.633
1991,2,6.7306,3.5,1.1667,23.333
1991,3,6.5908,4,5,22
1991,4,6.0957,2.069,11.379,16.552
1991,5,6.878,2,4,25
1991,6,6.4257,2,9,19
1991,7,4.2436,12,9,10
1991,8,4.212,12,8,11
